Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,,Dragon Spacecraft Qualification Unit,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,CCAFS,,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,CCAFS,,Dragon Spacecraft Qualification Unit,LEO,SpaceX,Success,F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
1,CCAFS,,0,LEO,NASA,Success,F9 v1.0B0003.1,No attempt,4 June 2010,18:45
1,CCAFS,,Dragon Spacecraft Qualification Unit,LEO,NASA,"Success
",F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
1,CCAFS,,0,LEO,NASA,"Success
",F9 v1.0B0003.1,Uncontrolled,4 June 2010,18:45
1,CCAFS,,Dragon,LEO,NASA,Success,F9 v1.0B0003.1,No attempt,4 June 2010,18:45
1,CCAFS,,0,Polar orbit,MDA,Success,F9 v1.0B0003.1,No attempt,4 June 2010,18:45
2,CCAFS,,Dragon,GTO,SES,Success,F9 v1.0B0004.1,Controlled,8 December 2010,15:43
3,VAFB,,525 kg,GTO,Thaicom,"Success
",F9 v1.0B0005.1,Controlled,22 May 2012,07:44
4,CCAFS,,SpaceX CRS-1,LEO,NASA,Success,F9 v1.0B0006.1,No attempt,8 October 2012,00:35
5,CCAFS,,"4,700 kg",LEO,Orbcomm,Success,F9 v1.0B0007.1,"No attempt
",1 March 2013,15:10
6,Cape Canaveral,,SpaceX CRS-2,GTO,AsiaSat,Success,F9 v1.1B1003,Uncontrolled,29 September 2013,16:00
7,Cape Canaveral,,"4,877 kg",GTO,AsiaSat,Success,F9 v1.1,Failure ,3 December 2013,22:41
8,Cape Canaveral,,CASSIOPE,LEO,NASA,Success,F9 v1.1,Controlled,6 January 2014,22:06
9,Cape Canaveral,,500 kg,LEO,NASA,"Success
",F9 v1.1,No attempt,18 April 2014,19:25
10,Cape Canaveral,,SES-8,HEO,USAF,"Success
",F9 v1.1,Failure,14 July 2014,15:15
11,Cape Canaveral,,"3,170 kg",GTO,ABS,"Success
",F9 v1.1,No attempt,5 August 2014,08:00
12,Cape Canaveral,,Thaicom 6,LEO,NASA,"Success
",F9 v1.1,Precluded,7 September 2014,05:00
13,Cape Canaveral,,"3,325 kg",GTO,,Failure,F9 v1.1,Success,21 September 2014,05:52
14,Cape Canaveral,,SpaceX CRS-3,LEO,NASA,"Success
",F9 v1.1,Failure,10 January 2015,09:47
15,Cape Canaveral,,"2,296 kg",LEO,Orbcomm,"Success
",F9 v1.1,Failure,11 February 2015,23:03
16,Cape Canaveral,,Orbcomm-OG2,LEO,NASA,"Success
",F9 v1.1,Success,2 March 2015,03:50
17,Cape Canaveral,,"1,316 kg",GTO,SES,Success,F9 v1.1,Success,14 April 2015,20:10
18,VAFB,,AsiaSat 8,LEO,NASA,"Success
",F9 v1.1,Success,27 April 2015,23:03
19,Cape Canaveral,,"4,535 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 v1.1,Failure,28 June 2015,14:21
20,Cape Canaveral,,AsiaSat 6,GTO,Thaicom,"Success
",F9 FT,Success,22 December 2015,01:29
21,Cape Canaveral,,"4,428 kg",GTO,ABS,"Success
",F9 v1.1,Success,17 January 2016,18:42
22,Cape Canaveral,,SpaceX CRS-4,LEO,NASA,"Success
",F9 FT,Success,4 March 2016,23:35
23,Cape Canaveral,,"2,216 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,8 April 2016,20:43
24,Cape Canaveral,,SpaceX CRS-5,Polar,Iridium Communications,"Success
",F9 FT,No attempt,6 May 2016,05:21
25,Cape Canaveral,,"2,395 kg",LEO,NASA,"Success
",F9 FT,Success,27 May 2016,21:39
26,VAFB,,DSCOVR,GTO,EchoStar,Success,F9 FT,Success,15 June 2016,14:29
27,KSC,,570 kg,GTO,SES,"Success
",F9 FT,No attempt,18 July 2016,04:45
28,KSC,,ABS-3A,LEO,NRO,"Success
",F9 FT,Success,14 August 2016,05:26
29,KSC,,"4,159 kg",GTO,Inmarsat,"Success
",F9 FT,Success,14 January 2017,17:54
30,KSC,,SpaceX CRS-6,LEO,NASA,"Success
",F9 FT,Success,19 February 2017,14:39
31,KSC,,"1,898 kg",GTO,Bulsatcom,"Success
",F9 FT,No attempt,16 March 2017,06:00
32,KSC,,TürkmenÄlem 52°E / MonacoSAT,LEO,Iridium Communications,"Success
",F9 FT♺,Success,30 March 2017,22:27
33,KSC,,"4,707 kg",GTO,Intelsat,"Success
",F9 FT,Success,1 May 2017,11:15
34,VAFB,,SpaceX CRS-7,LEO,NASA,"Success
",F9 FT,Success,15 May 2017,23:21
35,KSC,,"1,952 kg",SSO,NSPO,"Success
",F9 FT,Success,3 June 2017,21:07
36,KSC,,Orbcomm-OG2,LEO,USAF,"Success
",F9 FTB1029.2,Success,23 June 2017,19:10
37,VAFB,,"2,034 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,25 June 2017,20:25
38,KSC,,Jason-3,GTO,SES S.A.,"Success
",F9 FT,Success,5 July 2017,23:38
39,VAFB,,553 kg,GTO,KT Corporation,"Success
",F9 B4,Controlled,14 August 2017,16:31
40,KSC,,SES-9,LEO,NASA,Success,F9 FT,Success,24 August 2017,18:51
41,KSC,,"5,271 kg",Polar,Iridium Communications,Success,F9 B4,Controlled,7 September 2017,14:00
42,Cape Canaveral,,SpaceX CRS-8,LEO,Northrop Grumman,Success,F9 B4,No attempt,9 October 2017,12:37
43,VAFB,,"3,136 kg",GTO,SES,Success,F9 FTB1031.2,No attempt,11 October 2017,22:53:00
44,CCAFS,,JCSAT-14,SSO,Hisdesat,Success,F9 B4,No attempt,30 October 2017,19:34
